State,Year,Party,Switch
Alabama,1789,,0
Alabama,1792,,0
Alabama,1796,,0
Alabama,1800,,0
Alabama,1804,,0
Alabama,1808,,0
Alabama,1812,,0
Alabama,1816,,0
Alabama,1820,O,0
Alabama,1824,O,0
Alabama,1828,D,0
Alabama,1832,D,0
Alabama,1836,D,0
Alabama,1840,D,0
Alabama,1844,D,0
Alabama,1848,D,0
Alabama,1852,D,0
Alabama,1856,D,0
Alabama,1860,D,0
Alabama,1864,,0
Alabama,1868,R,0
Alabama,1872,R,0
Alabama,1876,D,1
Alabama,1880,D,0
Alabama,1884,D,0
Alabama,1888,D,0
Alabama,1892,D,0
Alabama,1896,D,0
Alabama,1900,D,0
Alabama,1904,D,0
Alabama,1908,D,0
Alabama,1912,D,0
Alabama,1916,D,0
Alabama,1920,D,0
Alabama,1924,D,0
Alabama,1928,D,0
Alabama,1932,D,0
Alabama,1936,D,0
Alabama,1940,D,0
Alabama,1944,D,0
Alabama,1948,D,0
Alabama,1952,D,0
Alabama,1956,D,0
Alabama,1960,O,0
Alabama,1964,R,0
Alabama,1968,O,0
Alabama,1972,R,0
Alabama,1976,D,1
Alabama,1980,R,1
Alabama,1984,R,0
Alabama,1988,R,0
Alabama,1992,R,0
Alabama,1996,R,0
Alabama,2000,R,0
Alabama,2004,R,0
Alabama,2008,R,0
Alabama,2012,R,0
Alabama,2016,R,0
Alabama,2020,R,0
Alaska,1789,,0
Alaska,1792,,0
Alaska,1796,,0
Alaska,1800,,0
Alaska,1804,,0
Alaska,1808,,0
Alaska,1812,,0
Alaska,1816,,0
Alaska,1820,,0
Alaska,1824,,0
Alaska,1828,,0
Alaska,1832,,0
Alaska,1836,,0
Alaska,1840,,0
Alaska,1844,,0
Alaska,1848,,0
Alaska,1852,,0
Alaska,1856,,0
Alaska,1860,,0
Alaska,1864,,0
Alaska,1868,,0
Alaska,1872,,0
Alaska,1876,,0
Alaska,1880,,0
Alaska,1884,,0
Alaska,1888,,0
Alaska,1892,,0
Alaska,1896,,0
Alaska,1900,,0
Alaska,1904,,0
Alaska,1908,,0
Alaska,1912,,0
Alaska,1916,,0
Alaska,1920,,0
Alaska,1924,,0
Alaska,1928,,0
Alaska,1932,,0
Alaska,1936,,0
Alaska,1940,,0
Alaska,1944,,0
Alaska,1948,,0
Alaska,1952,,0
Alaska,1956,,0
Alaska,1960,R,0
Alaska,1964,D,1
Alaska,1968,R,1
Alaska,1972,R,0
Alaska,1976,R,0
Alaska,1980,R,0
Alaska,1984,R,0
Alaska,1988,R,0
Alaska,1992,R,0
Alaska,1996,R,0
Alaska,2000,R,0
Alaska,2004,R,0
Alaska,2008,R,0
Alaska,2012,R,0
Alaska,2016,R,0
Alaska,2020,R,0
Arizona,1789,,0
Arizona,1792,,0
Arizona,1796,,0
Arizona,1800,,0
Arizona,1804,,0
Arizona,1808,,0
Arizona,1812,,0
Arizona,1816,,0
Arizona,1820,,0
Arizona,1824,,0
Arizona,1828,,0
Arizona,1832,,0
Arizona,1836,,0
Arizona,1840,,0
Arizona,1844,,0
Arizona,1848,,0
Arizona,1852,,0
Arizona,1856,,0
Arizona,1860,,0
Arizona,1864,,0
Arizona,1868,,0
Arizona,1872,,0
Arizona,1876,,0
Arizona,1880,,0
Arizona,1884,,0
Arizona,1888,,0
Arizona,1892,,0
Arizona,1896,,0
Arizona,1900,,0
Arizona,1904,,0
Arizona,1908,,0
Arizona,1912,D,0
Arizona,1916,D,0
Arizona,1920,R,1
Arizona,1924,R,0
Arizona,1928,R,0
Arizona,1932,D,1
Arizona,1936,D,0
Arizona,1940,D,0
Arizona,1944,D,0
Arizona,1948,D,0
Arizona,1952,R,1
Arizona,1956,R,0
Arizona,1960,R,0
Arizona,1964,R,0
Arizona,1968,R,0
Arizona,1972,R,0
Arizona,1976,R,0
Arizona,1980,R,0
Arizona,1984,R,0
Arizona,1988,R,0
Arizona,1992,R,0
Arizona,1996,D,1
Arizona,2000,R,1
Arizona,2004,R,0
Arizona,2008,R,0
Arizona,2012,R,0
Arizona,2016,R,0
Arizona,2020,D,1
Arkansas,1789,,0
Arkansas,1792,,0
Arkansas,1796,,0
Arkansas,1800,,0
Arkansas,1804,,0
Arkansas,1808,,0
Arkansas,1812,,0
Arkansas,1816,,0
Arkansas,1820,,0
Arkansas,1824,,0
Arkansas,1828,,0
Arkansas,1832,,0
Arkansas,1836,D,0
Arkansas,1840,D,0
Arkansas,1844,D,0
Arkansas,1848,D,0
Arkansas,1852,D,0
Arkansas,1856,D,0
Arkansas,1860,D,0
Arkansas,1864,,0
Arkansas,1868,R,0
Arkansas,1872,R,0
Arkansas,1876,D,1
Arkansas,1880,D,0
Arkansas,1884,D,0
Arkansas,1888,D,0
Arkansas,1892,D,0
Arkansas,1896,D,0
Arkansas,1900,D,0
Arkansas,1904,D,0
Arkansas,1908,D,0
Arkansas,1912,D,0
Arkansas,1916,D,0
Arkansas,1920,D,0
Arkansas,1924,D,0
Arkansas,1928,D,0
Arkansas,1932,D,0
Arkansas,1936,D,0
Arkansas,1940,D,0
Arkansas,1944,D,0
Arkansas,1948,D,0
Arkansas,1952,D,0
Arkansas,1956,D,0
Arkansas,1960,D,0
Arkansas,1964,D,0
Arkansas,1968,O,0
Arkansas,1972,R,0
Arkansas,1976,D,1
Arkansas,1980,R,1
Arkansas,1984,R,0
Arkansas,1988,R,0
Arkansas,1992,D,1
Arkansas,1996,D,0
Arkansas,2000,R,1
Arkansas,2004,R,0
Arkansas,2008,R,0
Arkansas,2012,R,0
Arkansas,2016,R,0
Arkansas,2020,R,0
California,1789,,0
California,1792,,0
California,1796,,0
California,1800,,0
California,1804,,0
California,1808,,0
California,1812,,0
California,1816,,0
California,1820,,0
California,1824,,0
California,1828,,0
California,1832,,0
California,1836,,0
California,1840,,0
California,1844,,0
California,1848,,0
California,1852,D,0
California,1856,D,0
California,1860,R,1
California,1864,R,0
California,1868,R,0
California,1872,R,0
California,1876,R,0
California,1880,D,1
California,1884,R,1
California,1888,R,0
California,1892,D,1
California,1896,R,1
California,1900,R,0
California,1904,R,0
California,1908,R,0
California,1912,O,0
California,1916,D,0
California,1920,R,1
California,1924,R,0
California,1928,R,0
California,1932,D,1
California,1936,D,0
California,1940,D,0
California,1944,D,0
California,1948,D,0
California,1952,R,1
California,1956,R,0
California,1960,R,0
California,1964,D,1
California,1968,R,1
California,1972,R,0
California,1976,R,0
California,1980,R,0
California,1984,R,0
California,1988,R,0
California,1992,D,1
California,1996,D,0
California,2000,D,0
California,2004,D,0
California,2008,D,0
California,2012,D,0
California,2016,D,0
California,2020,D,0
Colorado,1789,,0
Colorado,1792,,0
Colorado,1796,,0
Colorado,1800,,0
Colorado,1804,,0
Colorado,1808,,0
Colorado,1812,,0
Colorado,1816,,0
Colorado,1820,,0
Colorado,1824,,0
Colorado,1828,,0
Colorado,1832,,0
Colorado,1836,,0
Colorado,1840,,0
Colorado,1844,,0
Colorado,1848,,0
Colorado,1852,,0
Colorado,1856,,0
Colorado,1860,,0
Colorado,1864,,0
Colorado,1868,,0
Colorado,1872,,0
Colorado,1876,R,0
Colorado,1880,R,0
Colorado,1884,R,0
Colorado,1888,R,0
Colorado,1892,O,0
Colorado,1896,D,0
Colorado,1900,D,0
Colorado,1904,R,1
Colorado,1908,D,1
Colorado,1912,D,0
Colorado,1916,D,0
Colorado,1920,R,1
Colorado,1924,R,0
Colorado,1928,R,0
Colorado,1932,D,1
Colorado,1936,D,0
Colorado,1940,R,1
Colorado,1944,R,0
Colorado,1948,D,1
Colorado,1952,R,1
Colorado,1956,R,0
Colorado,1960,R,0
Colorado,1964,D,1
Colorado,1968,R,1
Colorado,1972,R,0
Colorado,1976,R,0
Colorado,1980,R,0
Colorado,1984,R,0
Colorado,1988,R,0
Colorado,1992,D,1
Colorado,1996,R,1
Colorado,2000,R,0
Colorado,2004,R,0
Colorado,2008,D,1
Colorado,2012,D,0
Colorado,2016,D,0
Colorado,2020,D,0
Connecticut,1789,O,0
Connecticut,1792,O,0
Connecticut,1796,O,0
Connecticut,1800,O,0
Connecticut,1804,O,0
Connecticut,1808,O,0
Connecticut,1812,O,0
Connecticut,1816,O,0
Connecticut,1820,O,0
Connecticut,1824,O,0
Connecticut,1828,O,0
Connecticut,1832,O,0
Connecticut,1836,D,0
Connecticut,1840,O,0
Connecticut,1844,O,0
Connecticut,1848,O,0
Connecticut,1852,D,0
Connecticut,1856,R,1
Connecticut,1860,R,0
Connecticut,1864,R,0
Connecticut,1868,R,0
Connecticut,1872,R,0
Connecticut,1876,D,1
Connecticut,1880,R,1
Connecticut,1884,D,1
Connecticut,1888,D,0
Connecticut,1892,D,0
Connecticut,1896,R,1
Connecticut,1900,R,0
