State,Year,Winning Party,Flip,President,President Party,Winning Party D,Winning Party O,Winning Party R
Alabama,1789,,0,George Washington,O,0,0,0
Alaska,1789,,0,George Washington,O,0,0,0
Arizona,1789,,0,George Washington,O,0,0,0
Arkansas,1789,,0,George Washington,O,0,0,0
California,1789,,0,George Washington,O,0,0,0
Colorado,1789,,0,George Washington,O,0,0,0
Connecticut,1789,O,0,George Washington,O,0,1,0
D.C.,1789,,0,George Washington,O,0,0,0
Delaware,1789,O,0,George Washington,O,0,1,0
Florida,1789,,0,George Washington,O,0,0,0
Georgia,1789,O,0,George Washington,O,0,1,0
Hawaii,1789,,0,George Washington,O,0,0,0
Idaho,1789,,0,George Washington,O,0,0,0
Illinois,1789,,0,George Washington,O,0,0,0
Indiana,1789,,0,George Washington,O,0,0,0
Iowa,1789,,0,George Washington,O,0,0,0
Kansas,1789,,0,George Washington,O,0,0,0
Kentucky,1789,,0,George Washington,O,0,0,0
Louisiana,1789,,0,George Washington,O,0,0,0
Maine,1789,,0,George Washington,O,0,0,0
Maryland,1789,O,0,George Washington,O,0,1,0
Massachusetts,1789,O,0,George Washington,O,0,1,0
Michigan,1789,,0,George Washington,O,0,0,0
Minnesota,1789,,0,George Washington,O,0,0,0
Mississippi,1789,,0,George Washington,O,0,0,0
Missouri,1789,,0,George Washington,O,0,0,0
Montana,1789,,0,George Washington,O,0,0,0
Nebraska,1789,,0,George Washington,O,0,0,0
Nevada,1789,,0,George Washington,O,0,0,0
New Hampshire,1789,O,0,George Washington,O,0,1,0
New Jersey,1789,O,0,George Washington,O,0,1,0
New Mexico,1789,,0,George Washington,O,0,0,0
New York,1789,,0,George Washington,O,0,0,0
North Carolina,1789,,0,George Washington,O,0,0,0
North Dakota,1789,,0,George Washington,O,0,0,0
Ohio,1789,,0,George Washington,O,0,0,0
Oklahoma,1789,,0,George Washington,O,0,0,0
Oregon,1789,,0,George Washington,O,0,0,0
Pennsylvania,1789,O,0,George Washington,O,0,1,0
Rhode Island,1789,,0,George Washington,O,0,0,0
South Carolina,1789,O,0,George Washington,O,0,1,0
South Dakota,1789,,0,George Washington,O,0,0,0
Tennessee,1789,,0,George Washington,O,0,0,0
Texas,1789,,0,George Washington,O,0,0,0
Utah,1789,,0,George Washington,O,0,0,0
Vermont,1789,,0,George Washington,O,0,0,0
Virginia,1789,O,0,George Washington,O,0,1,0
Washington,1789,,0,George Washington,O,0,0,0
West Virginia,1789,,0,George Washington,O,0,0,0
Wisconsin,1789,,0,George Washington,O,0,0,0
Wyoming,1789,,0,George Washington,O,0,0,0
Alabama,1792,,0,George Washington,O,0,0,0
Alaska,1792,,0,George Washington,O,0,0,0
Arizona,1792,,0,George Washington,O,0,0,0
Arkansas,1792,,0,George Washington,O,0,0,0
California,1792,,0,George Washington,O,0,0,0
Colorado,1792,,0,George Washington,O,0,0,0
Connecticut,1792,O,0,George Washington,O,0,1,0
D.C.,1792,,0,George Washington,O,0,0,0
Delaware,1792,O,0,George Washington,O,0,1,0
Florida,1792,,0,George Washington,O,0,0,0
Georgia,1792,O,0,George Washington,O,0,1,0
Hawaii,1792,,0,George Washington,O,0,0,0
Idaho,1792,,0,George Washington,O,0,0,0
Illinois,1792,,0,George Washington,O,0,0,0
Indiana,1792,,0,George Washington,O,0,0,0
Iowa,1792,,0,George Washington,O,0,0,0
Kansas,1792,,0,George Washington,O,0,0,0
Kentucky,1792,O,0,George Washington,O,0,1,0
Louisiana,1792,,0,George Washington,O,0,0,0
Maine,1792,,0,George Washington,O,0,0,0
Maryland,1792,O,0,George Washington,O,0,1,0
Massachusetts,1792,O,0,George Washington,O,0,1,0
Michigan,1792,,0,George Washington,O,0,0,0
Minnesota,1792,,0,George Washington,O,0,0,0
Mississippi,1792,,0,George Washington,O,0,0,0
Missouri,1792,,0,George Washington,O,0,0,0
Montana,1792,,0,George Washington,O,0,0,0
Nebraska,1792,,0,George Washington,O,0,0,0
Nevada,1792,,0,George Washington,O,0,0,0
New Hampshire,1792,O,0,George Washington,O,0,1,0
New Jersey,1792,O,0,George Washington,O,0,1,0
New Mexico,1792,,0,George Washington,O,0,0,0
New York,1792,O,0,George Washington,O,0,1,0
North Carolina,1792,O,0,George Washington,O,0,1,0
North Dakota,1792,,0,George Washington,O,0,0,0
Ohio,1792,,0,George Washington,O,0,0,0
Oklahoma,1792,,0,George Washington,O,0,0,0
Oregon,1792,,0,George Washington,O,0,0,0
Pennsylvania,1792,O,0,George Washington,O,0,1,0
Rhode Island,1792,O,0,George Washington,O,0,1,0
South Carolina,1792,O,0,George Washington,O,0,1,0
South Dakota,1792,,0,George Washington,O,0,0,0
Tennessee,1792,,0,George Washington,O,0,0,0
Texas,1792,,0,George Washington,O,0,0,0
Utah,1792,,0,George Washington,O,0,0,0
Vermont,1792,O,0,George Washington,O,0,1,0
Virginia,1792,O,0,George Washington,O,0,1,0
Washington,1792,,0,George Washington,O,0,0,0
West Virginia,1792,,0,George Washington,O,0,0,0
Wisconsin,1792,,0,George Washington,O,0,0,0
Wyoming,1792,,0,George Washington,O,0,0,0
Alabama,1796,,0,John Adams,O,0,0,0
Alaska,1796,,0,John Adams,O,0,0,0
Arizona,1796,,0,John Adams,O,0,0,0
Arkansas,1796,,0,John Adams,O,0,0,0
California,1796,,0,John Adams,O,0,0,0
Colorado,1796,,0,John Adams,O,0,0,0
Connecticut,1796,O,0,John Adams,O,0,1,0
D.C.,1796,,0,John Adams,O,0,0,0
Delaware,1796,O,0,John Adams,O,0,1,0
Florida,1796,,0,John Adams,O,0,0,0
Georgia,1796,O,0,John Adams,O,0,1,0
Hawaii,1796,,0,John Adams,O,0,0,0
Idaho,1796,,0,John Adams,O,0,0,0
Illinois,1796,,0,John Adams,O,0,0,0
Indiana,1796,,0,John Adams,O,0,0,0
Iowa,1796,,0,John Adams,O,0,0,0
Kansas,1796,,0,John Adams,O,0,0,0
Kentucky,1796,O,0,John Adams,O,0,1,0
Louisiana,1796,,0,John Adams,O,0,0,0
Maine,1796,,0,John Adams,O,0,0,0
Maryland,1796,O,0,John Adams,O,0,1,0
Massachusetts,1796,O,0,John Adams,O,0,1,0
Michigan,1796,,0,John Adams,O,0,0,0
Minnesota,1796,,0,John Adams,O,0,0,0
Mississippi,1796,,0,John Adams,O,0,0,0
Missouri,1796,,0,John Adams,O,0,0,0
Montana,1796,,0,John Adams,O,0,0,0
Nebraska,1796,,0,John Adams,O,0,0,0
Nevada,1796,,0,John Adams,O,0,0,0
New Hampshire,1796,O,0,John Adams,O,0,1,0
New Jersey,1796,O,0,John Adams,O,0,1,0
New Mexico,1796,,0,John Adams,O,0,0,0
New York,1796,O,0,John Adams,O,0,1,0
North Carolina,1796,O,0,John Adams,O,0,1,0
North Dakota,1796,,0,John Adams,O,0,0,0
Ohio,1796,,0,John Adams,O,0,0,0
Oklahoma,1796,,0,John Adams,O,0,0,0
Oregon,1796,,0,John Adams,O,0,0,0
Pennsylvania,1796,O,0,John Adams,O,0,1,0
Rhode Island,1796,O,0,John Adams,O,0,1,0
South Carolina,1796,O,0,John Adams,O,0,1,0
South Dakota,1796,,0,John Adams,O,0,0,0
Tennessee,1796,O,0,John Adams,O,0,1,0
Texas,1796,,0,John Adams,O,0,0,0
Utah,1796,,0,John Adams,O,0,0,0
Vermont,1796,O,0,John Adams,O,0,1,0
Virginia,1796,O,0,John Adams,O,0,1,0
Washington,1796,,0,John Adams,O,0,0,0
West Virginia,1796,,0,John Adams,O,0,0,0
Wisconsin,1796,,0,John Adams,O,0,0,0
Wyoming,1796,,0,John Adams,O,0,0,0
Alabama,1800,,0,Thomas Jefferson,O,0,0,0
Alaska,1800,,0,Thomas Jefferson,O,0,0,0
Arizona,1800,,0,Thomas Jefferson,O,0,0,0
Arkansas,1800,,0,Thomas Jefferson,O,0,0,0
California,1800,,0,Thomas Jefferson,O,0,0,0
Colorado,1800,,0,Thomas Jefferson,O,0,0,0
Connecticut,1800,O,0,Thomas Jefferson,O,0,1,0
D.C.,1800,,0,Thomas Jefferson,O,0,0,0
Delaware,1800,O,0,Thomas Jefferson,O,0,1,0
Florida,1800,,0,Thomas Jefferson,O,0,0,0
Georgia,1800,O,0,Thomas Jefferson,O,0,1,0
Hawaii,1800,,0,Thomas Jefferson,O,0,0,0
Idaho,1800,,0,Thomas Jefferson,O,0,0,0
Illinois,1800,,0,Thomas Jefferson,O,0,0,0
Indiana,1800,,0,Thomas Jefferson,O,0,0,0
Iowa,1800,,0,Thomas Jefferson,O,0,0,0
Kansas,1800,,0,Thomas Jefferson,O,0,0,0
Kentucky,1800,O,0,Thomas Jefferson,O,0,1,0
Louisiana,1800,,0,Thomas Jefferson,O,0,0,0
Maine,1800,,0,Thomas Jefferson,O,0,0,0
Maryland,1800,O,0,Thomas Jefferson,O,0,1,0
